
EPCValue,TimeStamp,RSSI,Frequency,RunNum,Antenna,Power,Reader
b'0000',1624551531403949,-43.0,40,0,0,32.5,0
b'0000',1624551531403949,-43.0,40,0,0,32.5,0
b'0000',1624551531677790,-42.5,40,0,0,32.5,0
b'0000',1624551531846139,-42.5,40,0,0,32.5,0
b'0000',1624551532151381,-42.5,40,0,0,32.5,0
b'0000',1624551532301142,-43.0,40,0,0,32.5,0
b'0000',1624551532459512,-42.5,40,0,0,32.5,0
b'0000',1624551532624502,-42.5,40,0,0,32.5,0
b'0000',1624551532782261,-43.0,40,0,0,32.5,0
b'0000',1624551532942044,-42.5,40,0,0,32.5,0
b'0000',1624551533107540,-42.5,40,0,0,32.5,0
b'0000',1624551533281032,-42.5,40,0,0,32.5,0
b'0000',1624551533633233,-43.0,40,0,0,32.5,0
b'0000',1624551533791934,-42.5,40,0,0,32.5,0
b'0000',1624551533949390,-42.5,40,0,0,32.5,0
EPCValue,TimeStamp,RSSI,Frequency,RunNum,Antenna,Power,Reader
b'00e200600322e08553000000',1624570603144570,-63.5,46,0,0,32.5,0
b'00e200600322e08553000000',1624570603144570,-63.5,46,0,0,32.5,0
b'0000',1624570603143997,-42.5,46,0,0,32.5,0
b'0000',1624570604711282,-43.0,46,0,0,32.5,0
b'00e200600322e08553000000',1624570604710868,-64.5,46,0,0,32.5,0
