MultiReader - Tags Read History Results
Test Description: 
Test Date: 07/13/21  Time: 3:09:16 PM

EPCValue,TimeStamp,RunNum,RSSI,Reader,Frequency,Power,Antenna
0x2d003333,1626217608.775,0,-60,0,923.750,32.00,0
0x2d003333,1626217608.803,0,-59,0,923.750,32.00,0
0x2d003333,1626217608.879,0,-59,0,923.750,32.00,0
0x2d003333,1626217608.908,0,-60,0,923.750,32.00,0
0x2d003333,1626217608.978,0,-59,0,908.750,32.00,0
0x2d003333,1626217609.006,0,-60,0,908.750,32.00,0
0x2d003333,1626217609.070,0,-60,0,908.750,32.00,0
0x2d003333,1626217609.243,0,-59,0,917.750,32.00,0
0x2d003333,1626217609.306,0,-60,0,917.750,32.00,0
0x2d003333,1626217609.348,0,-58,0,917.750,32.00,0
0x2d003333,1626217609.426,0,-60,0,922.250,32.00,0
0x2d003333,1626217609.454,0,-60,0,922.250,32.00,0
0x2d003333,1626217609.562,0,-59,0,922.250,32.00,0
0x2d003333,1626217609.578,0,-59,0,922.250,32.00,0
0x2d003333,1626217609.687,0,-58,0,905.250,32.00,0
0x2d003333,1626217609.719,0,-58,0,905.250,32.00,0
0x2d003333,1626217609.783,0,-59,0,905.250,32.00,0
0x2d003333,1626217609.853,0,-60,0,920.750,32.00,0
0x2d003333,1626217609.916,0,-60,0,920.750,32.00,0
0x2d003333,1626217609.959,0,-60,0,920.750,32.00,0
0x2d003333,1626217610.029,0,-58,0,903.750,32.00,0
0x2d003333,1626217610.056,0,-58,0,903.750,32.00,0
0x2d003333,1626217610.115,0,-59,0,903.750,32.00,0
0x2d003333,1626217610.149,0,-59,0,903.750,32.00,0
0x2d003333,1626217610.195,0,-58,0,903.750,32.00,0
0x2d003333,1626217610.252,0,-61,0,917.250,32.00,0
0x2d003333,1626217610.312,0,-60,0,917.250,32.00,0
0x2d003333,1626217610.340,0,-58,0,917.250,32.00,0
0x2d003333,1626217610.400,0,-61,0,917.250,32.00,0
0x2d003333,1626217610.452,0,-61,0,919.750,32.00,0
0x2d003333,1626217610.520,0,-61,0,919.750,32.00,0
0x2d003333,1626217610.554,0,-58,0,919.750,32.00,0
0x2d003333,1626217610.606,0,-59,0,919.750,32.00,0
0x2d003333,1626217610.711,0,-58,0,919.250,32.00,0
0x2d003333,1626217610.772,0,-59,0,919.250,32.00,0
0x2d003333,1626217610.799,0,-60,0,919.250,32.00,0
0x2d003333,1626217610.878,0,-60,0,911.750,32.00,0
0x2d003333,1626217610.906,0,-60,0,911.750,32.00,0
0x2d003333,1626217610.972,0,-59,0,911.750,32.00,0
0x2d003333,1626217611.000,0,-61,0,911.750,32.00,0
0x2d003333,1626217611.112,0,-62,0,907.750,32.00,0
0x2d003333,1626217611.175,0,-59,0,907.750,32.00,0
0x2d003333,1626217611.214,0,-59,0,907.750,32.00,0
0x2d003333,1626217611.278,0,-59,0,913.250,32.00,0
0x2d003333,1626217611.310,0,-60,0,913.250,32.00,0
0x2d003333,1626217611.410,0,-60,0,913.250,32.00,0
0x2d003333,1626217611.473,0,-59,0,909.750,32.00,0
0x2d003333,1626217611.507,0,-60,0,909.750,32.00,0
0x2d003333,1626217611.574,0,-59,0,909.750,32.00,0
0x2d003333,1626217611.607,0,-60,0,909.750,32.00,0
0x2d003333,1626217611.646,0,-59,0,909.750,32.00,0
0x2d003333,1626217611.716,0,-60,0,923.250,32.00,0
0x2d003333,1626217611.779,0,-60,0,923.250,32.00,0
0x2d003333,1626217611.821,0,-61,0,923.250,32.00,0
0x2d003333,1626217611.895,0,-59,0,912.750,32.00,0
0x2d003333,1626217611.931,0,-60,0,912.750,32.00,0
0x2d003333,1626217611.985,0,-60,0,912.750,32.00,0
