MultiReader - Tags Read History Results
Test Description: 
Test Date: 07/19/21  Time: 2:59:27 PM

EPCValue,TimeStamp,RunNum,RSSI,Reader,Frequency,Power,Antenna
0xeeee,1626735555.089,0,-52,0,915.250,32.00,0
0xeeee,1626735555.110,0,-51,0,915.250,32.00,0
0xeeee,1626735555.160,0,-51,0,915.250,32.00,0
0xeeee,1626735555.181,0,-51,0,915.250,32.00,0
0xeeee,1626735555.233,0,-51,0,915.250,32.00,0
0xeeee,1626735555.256,0,-51,0,915.250,32.00,0
0xeeee,1626735555.310,0,-51,0,915.250,32.00,0
0xeeee,1626735555.332,0,-52,0,915.250,32.00,0
0xeeee,1626735555.383,0,-51,0,915.250,32.00,0
0xeeee,1626735555.404,0,-51,0,915.250,32.00,0
0xeeee,1626735555.456,0,-51,0,915.250,32.00,0
0xeeee,1626735555.477,0,-51,0,915.250,32.00,0
0xeeee,1626735555.531,0,-51,0,915.250,32.00,0
0xeeee,1626735555.554,0,-51,0,915.250,32.00,0
0xeeee,1626735555.606,0,-51,0,915.250,32.00,0
0xeeee,1626735555.627,0,-51,0,915.250,32.00,0
0xeeee,1626735555.678,0,-51,0,915.250,32.00,0
0xeeee,1626735555.698,0,-51,0,915.250,32.00,0
0xeeee,1626735555.751,0,-51,0,915.250,32.00,0
0xeeee,1626735555.772,0,-52,0,915.250,32.00,0
0xeeee,1626735555.823,0,-51,0,915.250,32.00,0
0xeeee,1626735555.856,0,-51,0,915.250,32.00,0
0xeeee,1626735555.909,0,-51,0,915.250,32.00,0
0xeeee,1626735555.929,0,-51,0,915.250,32.00,0
0xeeee,1626735555.982,0,-51,0,915.250,32.00,0
0xeeee,1626735556.004,0,-51,0,915.250,32.00,0
0xeeee,1626735556.055,0,-51,0,915.250,32.00,0
0xeeee,1626735556.076,0,-50,0,915.250,32.00,0
0xeeee,1626735556.126,0,-51,0,915.250,32.00,0
0xeeee,1626735556.148,0,-52,0,915.250,32.00,0
0xeeee,1626735556.199,0,-50,0,915.250,32.00,0
0xeeee,1626735556.221,0,-51,0,915.250,32.00,0
0xeeee,1626735556.273,0,-50,0,915.250,32.00,0
0xeeee,1626735556.296,0,-50,0,915.250,32.00,0
0xeeee,1626735556.348,0,-51,0,915.250,32.00,0
0xeeee,1626735556.368,0,-51,0,915.250,32.00,0
0xeeee,1626735556.419,0,-51,0,915.250,32.00,0
0xeeee,1626735556.440,0,-51,0,915.250,32.00,0
0xeeee,1626735556.494,0,-51,0,915.250,32.00,0
0xeeee,1626735556.515,0,-51,0,915.250,32.00,0
0xeeee,1626735556.567,0,-51,0,915.250,32.00,0
0xeeee,1626735556.592,0,-51,0,915.250,32.00,0
0xeeee,1626735556.643,0,-51,0,915.250,32.00,0
0xeeee,1626735556.663,0,-51,0,915.250,32.00,0
0xeeee,1626735556.714,0,-51,0,915.250,32.00,0
0xeeee,1626735556.737,0,-50,0,915.250,32.00,0
0xeeee,1626735556.787,0,-51,0,915.250,32.00,0
0xeeee,1626735556.811,0,-51,0,915.250,32.00,0
0xeeee,1626735556.861,0,-51,0,915.250,32.00,0
0xeeee,1626735556.882,0,-51,0,915.250,32.00,0
0xeeee,1626735556.934,0,-51,0,915.250,32.00,0
0xeeee,1626735556.956,0,-51,0,915.250,32.00,0
0xeeee,1626735557.007,0,-51,0,915.250,32.00,0
0xeeee,1626735557.028,0,-51,0,915.250,32.00,0
0xeeee,1626735557.080,0,-51,0,915.250,32.00,0
0xeeee,1626735557.101,0,-51,0,915.250,32.00,0
0xeeee,1626735557.151,0,-51,0,915.250,32.00,0
0xeeee,1626735557.174,0,-52,0,915.250,32.00,0
0xeeee,1626735557.224,0,-51,0,915.250,32.00,0
0xeeee,1626735557.248,0,-51,0,915.250,32.00,0
0xeeee,1626735557.299,0,-51,0,915.250,32.00,0
0xeeee,1626735557.330,0,-51,0,915.250,32.00,0
0xeeee,1626735557.382,0,-51,0,915.250,32.00,0
0xeeee,1626735557.403,0,-51,0,915.250,32.00,0
0xeeee,1626735557.454,0,-51,0,915.250,32.00,0
0xeeee,1626735557.474,0,-51,0,915.250,32.00,0
0xeeee,1626735557.525,0,-51,0,915.250,32.00,0
0xeeee,1626735557.547,0,-51,0,915.250,32.00,0
0xeeee,1626735557.597,0,-51,0,915.250,32.00,0
0xeeee,1626735557.618,0,-51,0,915.250,32.00,0
0xeeee,1626735557.672,0,-52,0,915.250,32.00,0
0xeeee,1626735557.692,0,-51,0,915.250,32.00,0
0xeeee,1626735557.743,0,-51,0,915.250,32.00,0
0xeeee,1626735557.766,0,-52,0,915.250,32.00,0
0xeeee,1626735557.817,0,-51,0,915.250,32.00,0
0xeeee,1626735557.838,0,-52,0,915.250,32.00,0
0xeeee,1626735557.888,0,-51,0,915.250,32.00,0
0xeeee,1626735557.912,0,-51,0,915.250,32.00,0
0xeeee,1626735557.964,0,-52,0,915.250,32.00,0
0xeeee,1626735557.986,0,-51,0,915.250,32.00,0
0xeeee,1626735558.037,0,-52,0,915.250,32.00,0
0xeeee,1626735558.058,0,-51,0,915.250,32.00,0
0xeeee,1626735558.111,0,-51,0,915.250,32.00,0
0xeeee,1626735558.132,0,-51,0,915.250,32.00,0
0xeeee,1626735558.184,0,-51,0,915.250,32.00,0
0xeeee,1626735558.208,0,-51,0,915.250,32.00,0
0xeeee,1626735558.262,0,-51,0,915.250,32.00,0
0xeeee,1626735558.284,0,-52,0,915.250,32.00,0
0xeeee,1626735558.335,0,-51,0,915.250,32.00,0
0xeeee,1626735558.366,0,-51,0,915.250,32.00,0
