MultiReader - Tags Read History Results
Test Description: 
Test Date: 07/26/21  Time: 10:08:16 PM

EPCValue,TimeStamp,RunNum,RSSI,Reader,Frequency,Power,Antenna
0xa300,1627366086.782,0,-65,0,920.250,32.00,0
0xa300,1627366086.820,0,-66,0,920.250,32.00,0
0xa300,1627366086.882,0,-65,0,920.250,32.00,0
0xa300,1627366086.914,0,-66,0,920.250,32.00,0
0xa300,1627366086.992,0,-66,0,920.250,32.00,0
0xa300,1627366087.024,0,-66,0,920.250,32.00,0
0xa300,1627366087.087,0,-66,0,920.250,32.00,0
0xa300,1627366087.125,0,-66,0,920.250,32.00,0
0xa300,1627366087.195,0,-66,0,920.250,32.00,0
0xa300,1627366087.228,0,-66,0,920.250,32.00,0
0xa300,1627366087.293,0,-66,0,920.250,32.00,0
0xa300,1627366087.325,0,-65,0,920.250,32.00,0
0xa300,1627366087.388,0,-66,0,920.250,32.00,0
0xa300,1627366087.512,0,-66,0,920.250,32.00,0
0xa300,1627366087.584,0,-66,0,920.250,32.00,0
0xa300,1627366087.619,0,-66,0,920.250,32.00,0
0xa300,1627366087.697,0,-66,0,920.250,32.00,0
0xa300,1627366087.824,0,-66,0,920.250,32.00,0
0xa300,1627366087.896,0,-66,0,920.250,32.00,0
0xa300,1627366087.935,0,-66,0,920.250,32.00,0
0xa300,1627366088.008,0,-66,0,920.250,32.00,0
0xa300,1627366088.129,0,-66,0,920.250,32.00,0
0xa300,1627366088.198,0,-66,0,920.250,32.00,0
0xa300,1627366088.230,0,-66,0,920.250,32.00,0
0xa300,1627366088.297,0,-66,0,920.250,32.00,0
0xa300,1627366088.328,0,-65,0,920.250,32.00,0
0xa300,1627366088.391,0,-66,0,920.250,32.00,0
0xa300,1627366088.428,0,-66,0,920.250,32.00,0
0xa300,1627366088.492,0,-66,0,920.250,32.00,0
0xa300,1627366088.529,0,-66,0,920.250,32.00,0
0xa300,1627366088.592,0,-66,0,920.250,32.00,0
0xa300,1627366088.623,0,-66,0,920.250,32.00,0
0xa300,1627366088.680,0,-66,0,920.250,32.00,0
0xa300,1627366088.709,0,-65,0,920.250,32.00,0
0xa300,1627366088.773,0,-66,0,920.250,32.00,0
0xa300,1627366088.805,0,-66,0,920.250,32.00,0
0xa300,1627366088.868,0,-66,0,920.250,32.00,0
0xa300,1627366088.901,0,-65,0,920.250,32.00,0
0xa300,1627366088.963,0,-66,0,920.250,32.00,0
0xa300,1627366088.995,0,-66,0,920.250,32.00,0
0xa300,1627366089.064,0,-65,0,920.250,32.00,0
0xa300,1627366089.103,0,-66,0,920.250,32.00,0
0xa300,1627366089.168,0,-66,0,920.250,32.00,0
0xa300,1627366089.200,0,-66,0,920.250,32.00,0
0xa300,1627366089.263,0,-66,0,920.250,32.00,0
0xa300,1627366089.295,0,-66,0,920.250,32.00,0
0xa300,1627366089.364,0,-66,0,920.250,32.00,0
0xa300,1627366089.401,0,-66,0,920.250,32.00,0
0xa300,1627366089.464,0,-66,0,920.250,32.00,0
0xa300,1627366089.498,0,-66,0,920.250,32.00,0
0xa300,1627366089.570,0,-66,0,920.250,32.00,0
0xa300,1627366089.610,0,-66,0,920.250,32.00,0
0xa300,1627366089.677,0,-67,0,920.250,32.00,0
0xa300,1627366089.710,0,-65,0,920.250,32.00,0
0xa300,1627366089.773,0,-66,0,920.250,32.00,0
0xa300,1627366089.810,0,-66,0,920.250,32.00,0
0xa300,1627366089.889,0,-66,0,920.250,32.00,0
0xa300,1627366089.923,0,-65,0,920.250,32.00,0
