MultiReader - Tags Read History Results
Test Description: 
Test Date: 08/09/21  Time: 10:33:40 PM

EPCValue,TimeStamp,RunNum,RSSI,Reader,Frequency,Power,Antenna
0xf9201111,1628577412.924,0,-51,0,920.250,32.00,0
0xf9201111,1628577412.944,0,-51,0,920.250,32.00,0
0xf9201111,1628577412.995,0,-50,0,920.250,32.00,0
0xf9201111,1628577413.015,0,-50,0,920.250,32.00,0
0xf9201111,1628577413.066,0,-50,0,920.250,32.00,0
0xf9201111,1628577413.089,0,-50,0,920.250,32.00,0
0xf9201111,1628577413.139,0,-51,0,920.250,32.00,0
0xf9201111,1628577413.159,0,-51,0,920.250,32.00,0
0xf9201111,1628577413.210,0,-50,0,920.250,32.00,0
0xf9201111,1628577413.230,0,-51,0,920.250,32.00,0
0xf9201111,1628577413.280,0,-51,0,920.250,32.00,0
0xf9201111,1628577413.300,0,-51,0,920.250,32.00,0
0xf9201111,1628577413.354,0,-51,0,920.250,32.00,0
0xf9201111,1628577413.377,0,-50,0,920.250,32.00,0
0xf9201111,1628577413.427,0,-50,0,920.250,32.00,0
0xf9201111,1628577413.448,0,-51,0,920.250,32.00,0
0xf9201111,1628577413.500,0,-50,0,920.250,32.00,0
0xf9201111,1628577413.520,0,-50,0,920.250,32.00,0
0xf9201111,1628577413.570,0,-51,0,920.250,32.00,0
0xf9201111,1628577413.590,0,-51,0,920.250,32.00,0
0xf9201111,1628577413.643,0,-51,0,920.250,32.00,0
0xf9201111,1628577413.662,0,-50,0,920.250,32.00,0
0xf9201111,1628577413.712,0,-50,0,920.250,32.00,0
0xf9201111,1628577413.732,0,-50,0,920.250,32.00,0
0xf9201111,1628577413.783,0,-51,0,920.250,32.00,0
0xf9201111,1628577413.803,0,-50,0,920.250,32.00,0
0xf9201111,1628577413.854,0,-51,0,920.250,32.00,0
0xf9201111,1628577413.874,0,-50,0,920.250,32.00,0
0xf9201111,1628577413.925,0,-50,0,920.250,32.00,0
0xf9201111,1628577413.948,0,-49,0,920.250,32.00,0
0xf9201111,1628577413.999,0,-50,0,920.250,32.00,0
0xf9201111,1628577414.019,0,-50,0,920.250,32.00,0
0xf9201111,1628577414.073,0,-51,0,920.250,32.00,0
0xf9201111,1628577414.097,0,-51,0,920.250,32.00,0
0xf9201111,1628577414.147,0,-51,0,920.250,32.00,0
0xf9201111,1628577414.167,0,-51,0,920.250,32.00,0
0xf9201111,1628577414.220,0,-50,0,920.250,32.00,0
0xf9201111,1628577414.240,0,-51,0,920.250,32.00,0
0xf9201111,1628577414.292,0,-51,0,920.250,32.00,0
0xf9201111,1628577414.312,0,-50,0,920.250,32.00,0
0xf9201111,1628577414.363,0,-50,0,920.250,32.00,0
0xf9201111,1628577414.386,0,-51,0,920.250,32.00,0
0xf9201111,1628577414.436,0,-51,0,920.250,32.00,0
0xf9201111,1628577414.456,0,-51,0,920.250,32.00,0
0xf9201111,1628577414.507,0,-51,0,920.250,32.00,0
0xf9201111,1628577414.529,0,-50,0,920.250,32.00,0
0xf9201111,1628577414.579,0,-50,0,920.250,32.00,0
0xf9201111,1628577414.601,0,-51,0,920.250,32.00,0
0xf9201111,1628577414.655,0,-50,0,920.250,32.00,0
0xf9201111,1628577414.675,0,-50,0,920.250,32.00,0
0xf9201111,1628577414.727,0,-50,0,920.250,32.00,0
0xf9201111,1628577414.747,0,-50,0,920.250,32.00,0
0xf9201111,1628577414.804,0,-51,0,920.250,32.00,0
0xf9201111,1628577414.824,0,-50,0,920.250,32.00,0
0xf9201111,1628577414.875,0,-51,0,920.250,32.00,0
0xf9201111,1628577414.895,0,-50,0,920.250,32.00,0
0xf9201111,1628577414.945,0,-50,0,920.250,32.00,0
0xf9201111,1628577414.968,0,-50,0,920.250,32.00,0
0xf9201111,1628577415.019,0,-51,0,920.250,32.00,0
0xf9201111,1628577415.039,0,-50,0,920.250,32.00,0
0xf9201111,1628577415.089,0,-51,0,920.250,32.00,0
0xf9201111,1628577415.111,0,-51,0,920.250,32.00,0
0xf9201111,1628577415.162,0,-51,0,920.250,32.00,0
0xf9201111,1628577415.182,0,-50,0,920.250,32.00,0
0xf9201111,1628577415.233,0,-50,0,920.250,32.00,0
0xf9201111,1628577415.253,0,-51,0,920.250,32.00,0
0xf9201111,1628577415.303,0,-51,0,920.250,32.00,0
0xf9201111,1628577415.326,0,-51,0,920.250,32.00,0
0xf9201111,1628577415.379,0,-51,0,920.250,32.00,0
0xf9201111,1628577415.401,0,-51,0,920.250,32.00,0
0xf9201111,1628577415.454,0,-51,0,920.250,32.00,0
0xf9201111,1628577415.474,0,-51,0,920.250,32.00,0
0xf9201111,1628577415.525,0,-51,0,920.250,32.00,0
0xf9201111,1628577415.545,0,-51,0,920.250,32.00,0
