MultiReader - Tags Read History Results
Test Description: 
Test Date: 07/19/21  Time: 2:59:50 PM

EPCValue,TimeStamp,RunNum,RSSI,Reader,Frequency,Power,Antenna
0xeeee,1626735576.359,0,-48,0,915.250,32.00,0
0xeeee,1626735576.382,0,-47,0,915.250,32.00,0
0xeeee,1626735576.434,0,-48,0,915.250,32.00,0
0xeeee,1626735576.456,0,-48,0,915.250,32.00,0
0xeeee,1626735576.507,0,-47,0,915.250,32.00,0
0xeeee,1626735576.529,0,-48,0,915.250,32.00,0
0xeeee,1626735576.581,0,-48,0,915.250,32.00,0
0xeeee,1626735576.603,0,-47,0,915.250,32.00,0
0xeeee,1626735576.653,0,-48,0,915.250,32.00,0
0xeeee,1626735576.676,0,-48,0,915.250,32.00,0
0xeeee,1626735576.728,0,-48,0,915.250,32.00,0
0xeeee,1626735576.753,0,-47,0,915.250,32.00,0
0xeeee,1626735576.805,0,-48,0,915.250,32.00,0
0xeeee,1626735576.830,0,-48,0,915.250,32.00,0
0xeeee,1626735576.882,0,-47,0,915.250,32.00,0
0xeeee,1626735576.904,0,-48,0,915.250,32.00,0
0xeeee,1626735576.956,0,-48,0,915.250,32.00,0
0xeeee,1626735576.978,0,-48,0,915.250,32.00,0
0xeeee,1626735577.033,0,-47,0,915.250,32.00,0
0xeeee,1626735577.058,0,-47,0,915.250,32.00,0
0xeeee,1626735577.110,0,-48,0,915.250,32.00,0
0xeeee,1626735577.134,0,-47,0,915.250,32.00,0
0xeeee,1626735577.186,0,-48,0,915.250,32.00,0
0xeeee,1626735577.207,0,-47,0,915.250,32.00,0
0xeeee,1626735577.258,0,-47,0,915.250,32.00,0
0xeeee,1626735577.281,0,-48,0,915.250,32.00,0
0xeeee,1626735577.334,0,-48,0,915.250,32.00,0
0xeeee,1626735577.355,0,-47,0,915.250,32.00,0
0xeeee,1626735577.407,0,-47,0,915.250,32.00,0
0xeeee,1626735577.428,0,-48,0,915.250,32.00,0
0xeeee,1626735577.483,0,-47,0,915.250,32.00,0
0xeeee,1626735577.505,0,-48,0,915.250,32.00,0
0xeeee,1626735577.556,0,-47,0,915.250,32.00,0
0xeeee,1626735577.578,0,-48,0,915.250,32.00,0
0xeeee,1626735577.630,0,-47,0,915.250,32.00,0
0xeeee,1626735577.652,0,-47,0,915.250,32.00,0
0xeeee,1626735577.705,0,-47,0,915.250,32.00,0
0xeeee,1626735577.727,0,-47,0,915.250,32.00,0
0xeeee,1626735577.779,0,-48,0,915.250,32.00,0
0xeeee,1626735577.803,0,-48,0,915.250,32.00,0
0xeeee,1626735577.855,0,-48,0,915.250,32.00,0
0xeeee,1626735577.877,0,-48,0,915.250,32.00,0
0xeeee,1626735577.929,0,-48,0,915.250,32.00,0
0xeeee,1626735577.951,0,-48,0,915.250,32.00,0
0xeeee,1626735578.003,0,-48,0,915.250,32.00,0
0xeeee,1626735578.025,0,-48,0,915.250,32.00,0
0xeeee,1626735578.076,0,-48,0,915.250,32.00,0
0xeeee,1626735578.098,0,-47,0,915.250,32.00,0
0xeeee,1626735578.153,0,-48,0,915.250,32.00,0
0xeeee,1626735578.178,0,-47,0,915.250,32.00,0
0xeeee,1626735578.230,0,-47,0,915.250,32.00,0
0xeeee,1626735578.254,0,-48,0,915.250,32.00,0
0xeeee,1626735578.310,0,-48,0,915.250,32.00,0
0xeeee,1626735578.331,0,-47,0,915.250,32.00,0
0xeeee,1626735578.383,0,-47,0,915.250,32.00,0
0xeeee,1626735578.405,0,-48,0,915.250,32.00,0
0xeeee,1626735578.458,0,-47,0,915.250,32.00,0
0xeeee,1626735578.481,0,-48,0,915.250,32.00,0
0xeeee,1626735578.533,0,-47,0,915.250,32.00,0
0xeeee,1626735578.554,0,-47,0,915.250,32.00,0
0xeeee,1626735578.605,0,-48,0,915.250,32.00,0
0xeeee,1626735578.627,0,-47,0,915.250,32.00,0
0xeeee,1626735578.678,0,-48,0,915.250,32.00,0
0xeeee,1626735578.699,0,-48,0,915.250,32.00,0
0xeeee,1626735578.755,0,-48,0,915.250,32.00,0
0xeeee,1626735578.781,0,-47,0,915.250,32.00,0
0xeeee,1626735578.833,0,-48,0,915.250,32.00,0
0xeeee,1626735578.855,0,-48,0,915.250,32.00,0
0xeeee,1626735578.907,0,-47,0,915.250,32.00,0
0xeeee,1626735578.928,0,-47,0,915.250,32.00,0
0xeeee,1626735578.980,0,-47,0,915.250,32.00,0
0xeeee,1626735579.001,0,-48,0,915.250,32.00,0
0xeeee,1626735579.052,0,-47,0,915.250,32.00,0
0xeeee,1626735579.072,0,-48,0,915.250,32.00,0
0xeeee,1626735579.123,0,-48,0,915.250,32.00,0
0xeeee,1626735579.143,0,-47,0,915.250,32.00,0
0xeeee,1626735579.198,0,-48,0,915.250,32.00,0
0xeeee,1626735579.217,0,-48,0,915.250,32.00,0
0xeeee,1626735579.268,0,-48,0,915.250,32.00,0
0xeeee,1626735579.292,0,-47,0,915.250,32.00,0
0xeeee,1626735579.348,0,-48,0,915.250,32.00,0
0xeeee,1626735579.370,0,-48,0,915.250,32.00,0
0xeeee,1626735579.422,0,-48,0,915.250,32.00,0
0xeeee,1626735579.444,0,-47,0,915.250,32.00,0
0xeeee,1626735579.497,0,-48,0,915.250,32.00,0
0xeeee,1626735579.519,0,-48,0,915.250,32.00,0
0xeeee,1626735579.571,0,-48,0,915.250,32.00,0
0xeeee,1626735579.593,0,-47,0,915.250,32.00,0
0xeeee,1626735579.645,0,-48,0,915.250,32.00,0
0xeeee,1626735579.667,0,-48,0,915.250,32.00,0
0xeeee,1626735579.719,0,-48,0,915.250,32.00,0
0xeeee,1626735579.741,0,-47,0,915.250,32.00,0
0xeeee,1626735579.795,0,-47,0,915.250,32.00,0
0xeeee,1626735579.817,0,-48,0,915.250,32.00,0
0xeeee,1626735579.869,0,-48,0,915.250,32.00,0
0xeeee,1626735579.892,0,-48,0,915.250,32.00,0
0xeeee,1626735579.943,0,-48,0,915.250,32.00,0
0xeeee,1626735579.965,0,-48,0,915.250,32.00,0
0xeeee,1626735580.017,0,-48,0,915.250,32.00,0
0xeeee,1626735580.039,0,-47,0,915.250,32.00,0
0xeeee,1626735580.090,0,-48,0,915.250,32.00,0
0xeeee,1626735580.112,0,-48,0,915.250,32.00,0
0xeeee,1626735580.163,0,-47,0,915.250,32.00,0
0xeeee,1626735580.184,0,-47,0,915.250,32.00,0
0xeeee,1626735580.237,0,-47,0,915.250,32.00,0
0xeeee,1626735580.260,0,-48,0,915.250,32.00,0
0xeeee,1626735580.311,0,-48,0,915.250,32.00,0
0xeeee,1626735580.333,0,-47,0,915.250,32.00,0
0xeeee,1626735580.384,0,-48,0,915.250,32.00,0
0xeeee,1626735580.406,0,-48,0,915.250,32.00,0
0xeeee,1626735580.457,0,-48,0,915.250,32.00,0
0xeeee,1626735580.479,0,-48,0,915.250,32.00,0
0xeeee,1626735580.532,0,-47,0,915.250,32.00,0
0xeeee,1626735580.557,0,-48,0,915.250,32.00,0
0xeeee,1626735580.612,0,-47,0,915.250,32.00,0
0xeeee,1626735580.633,0,-48,0,915.250,32.00,0
0xeeee,1626735580.687,0,-48,0,915.250,32.00,0
0xeeee,1626735580.709,0,-47,0,915.250,32.00,0
0xeeee,1626735580.769,0,-48,0,915.250,32.00,0
0xeeee,1626735580.790,0,-48,0,915.250,32.00,0
0xeeee,1626735580.842,0,-47,0,915.250,32.00,0
0xeeee,1626735580.865,0,-48,0,915.250,32.00,0
0xeeee,1626735580.920,0,-48,0,915.250,32.00,0
0xeeee,1626735580.942,0,-47,0,915.250,32.00,0
0xeeee,1626735580.994,0,-48,0,915.250,32.00,0
0xeeee,1626735581.016,0,-48,0,915.250,32.00,0
