MultiReader - Tags Read History Results
Test Description: 
Test Date: 07/09/21  Time: 3:39:31 PM

EPCValue,TimeStamp,RunNum,RSSI,Reader,Frequency,Power,Antenna
0x2d003333,1625873971.005,0,-57,0,917.750,32.00,0
0x2d003333,1625873971.028,0,-56,0,917.750,32.00,0
0x2d003333,1625873971.079,0,-57,0,917.750,32.00,0
0x2d003333,1625873971.099,0,-56,0,917.750,32.00,0
0x2d003333,1625873971.149,0,-57,0,917.750,32.00,0
0x2d003333,1625873971.170,0,-55,0,917.750,32.00,0
0x2d003333,1625873971.221,0,-57,0,917.750,32.00,0
0x2d003333,1625873971.244,0,-56,0,917.750,32.00,0
0x2d003333,1625873971.295,0,-58,0,917.750,32.00,0
0x2d003333,1625873971.316,0,-56,0,917.750,32.00,0
0x2d003333,1625873971.366,0,-55,0,917.750,32.00,0
0x2d003333,1625873971.389,0,-58,0,917.750,32.00,0
0x2d003333,1625873971.441,0,-57,0,917.750,32.00,0
0x2d003333,1625873971.462,0,-57,0,917.750,32.00,0
0x2d003333,1625873971.512,0,-56,0,917.750,32.00,0
0x2d003333,1625873971.535,0,-58,0,917.750,32.00,0
0x2d003333,1625873971.588,0,-56,0,917.750,32.00,0
0x2d003333,1625873971.609,0,-57,0,917.750,32.00,0
0x2d003333,1625873971.660,0,-57,0,917.750,32.00,0
0x2d003333,1625873971.681,0,-57,0,917.750,32.00,0
0x2d003333,1625873971.732,0,-58,0,917.750,32.00,0
0x2d003333,1625873971.756,0,-56,0,917.750,32.00,0
0x2d003333,1625873971.806,0,-57,0,917.750,32.00,0
0x2d003333,1625873971.826,0,-57,0,917.750,32.00,0
0x2d003333,1625873971.876,0,-57,0,917.750,32.00,0
0x2d003333,1625873971.899,0,-57,0,917.750,32.00,0
0x2d003333,1625873971.950,0,-57,0,917.750,32.00,0
0x2d003333,1625873971.970,0,-57,0,917.750,32.00,0
0x2d003333,1625873972.025,0,-57,0,917.750,32.00,0
0x2d003333,1625873972.051,0,-58,0,917.750,32.00,0
0x2d003333,1625873972.104,0,-57,0,917.750,32.00,0
0x2d003333,1625873972.132,0,-56,0,917.750,32.00,0
0x2d003333,1625873972.182,0,-57,0,917.750,32.00,0
0x2d003333,1625873972.205,0,-58,0,917.750,32.00,0
0x2d003333,1625873972.258,0,-57,0,917.750,32.00,0
0x2d003333,1625873972.279,0,-57,0,917.750,32.00,0
0x2d003333,1625873972.333,0,-57,0,917.750,32.00,0
0x2d003333,1625873972.354,0,-57,0,917.750,32.00,0
